,Date,Close,High,Low,Open,Volume
0,2021-01-19,281.51666259765625,283.3333435058594,277.6666564941406,279.26666259765625,76101000
1,2021-01-20,283.48333740234375,286.5,279.09332275390625,286.2466735839844,76997700
2,2021-01-21,281.663330078125,285.239990234375,280.47332763671875,285.0,61563300
3,2021-01-22,282.21331787109375,282.6666564941406,276.2066650390625,278.10333251953125,60199500
4,2021-01-25,293.6000061035156,300.1333312988281,279.6066589355469,285.0,123520200
5,2021-01-26,294.36334228515625,298.6333312988281,290.5333251953125,297.1266784667969,69394800
6,2021-01-27,288.0533447265625,297.1666564941406,286.2200012207031,290.1166687011719,82002000
7,2021-01-28,278.4766540527344,282.6666564941406,267.0,273.3333435058594,79134000
8,2021-01-29,264.510009765625,280.8033447265625,260.0333251953125,276.6666564941406,104972400
9,2021-02-01,279.9366760253906,280.6666564941406,265.1866760253906,271.42999267578125,76174200
10,2021-02-02,290.92999267578125,293.5,280.73333740234375,281.55999755859375,73038600
11,2021-02-03,284.89666748046875,292.6933288574219,284.35333251953125,292.3399963378906,55030500
12,2021-02-04,283.3299865722656,285.5,277.8066711425781,285.0,47438100
13,2021-02-05,284.07666015625,288.25665283203125,279.65667724609375,281.6666564941406,55699800
14,2021-02-08,287.8066711425781,292.5899963378906,284.9166564941406,289.8900146484375,60485100
15,2021-02-09,283.1533203125,286.6000061035156,280.5833435058594,285.0400085449219,45473100
16,2021-02-10,268.2733459472656,281.6066589355469,266.67333984375,281.21331787109375,108648300
17,2021-02-11,270.5533447265625,276.6266784667969,267.24334716796875,270.8133239746094,64868400
18,2021-02-12,272.0400085449219,272.4433288574219,261.77667236328125,267.086669921875,71304900
19,2021-02-16,265.40667724609375,273.6666564941406,264.14666748046875,272.6666564941406,59406900
20,2021-02-17,266.04998779296875,266.61334228515625,254.00332641601562,259.6966552734375,77989500
21,2021-02-18,262.4599914550781,264.89666748046875,258.75665283203125,260.29998779296875,53871300
22,2021-02-19,260.4333190917969,265.5966796875,259.1233215332031,265.0,56874900
23,2021-02-22,238.1666717529297,256.1666564941406,236.73333740234375,254.2133331298828,111809100
24,2021-02-23,232.94667053222656,237.8699951171875,206.3333282470703,220.7100067138672,199820700
25,2021-02-24,247.33999633789062,248.3333282470703,231.38999938964844,237.28334045410156,110301000
26,2021-02-25,227.4066619873047,245.73666381835938,223.52667236328125,242.0500030517578,117071700
27,2021-02-26,225.1666717529297,235.56666564941406,219.836669921875,233.3333282470703,123267600
28,2021-03-01,239.47666931152344,239.6666717529297,228.35000610351562,230.0366668701172,81408600
29,2021-03-02,228.81333923339844,240.3699951171875,228.3333282470703,239.42666625976562,71196600
30,2021-03-03,217.73333740234375,233.56666564941406,217.23666381835938,229.3300018310547,90624000
31,2021-03-04,207.14666748046875,222.81666564941406,200.0,218.60000610351562,197758500
32,2021-03-05,199.31666564941406,209.27999877929688,179.8300018310547,208.68666076660156,268189500
33,2021-03-08,187.6666717529297,206.7100067138672,186.26333618164062,200.18333435058594,155361000
34,2021-03-09,224.52667236328125,226.02999877929688,198.40333557128906,202.72666931152344,202569900
35,2021-03-10,222.68666076660156,239.28334045410156,218.35333251953125,233.43333435058594,181817100
36,2021-03-11,233.1999969482422,234.1666717529297,225.72666931152344,233.13333129882812,108761700
37,2021-03-12,231.2433319091797,231.6266632080078,222.04666137695312,223.3333282470703,100751400
38,2021-03-15,235.97999572753906,237.72666931152344,228.01333618164062,231.3633270263672,88006800
39,2021-03-16,225.6266632080078,235.97332763671875,223.6666717529297,234.4499969482422,96587100
40,2021-03-17,233.93666076660156,234.57666015625,217.00332641601562,218.9566650390625,121117500
41,2021-03-18,217.72000122070312,229.7433319091797,217.3333282470703,228.09666442871094,99674400
42,2021-03-19,218.2899932861328,219.07666015625,208.2066650390625,215.53334045410156,128682000
43,2021-03-22,223.3333282470703,233.2066650390625,222.9166717529297,228.19667053222656,118536600
44,2021-03-23,220.72000122070312,225.93333435058594,219.1699981689453,225.2566680908203,91475700
45,2021-03-24,210.08999633789062,222.67333984375,210.0366668701172,222.6366729736328,101385600
46,2021-03-25,213.4633331298828,215.1666717529297,203.1666717529297,204.3333282470703,117674700
47,2021-03-26,206.23666381835938,214.60667419433594,199.9633331298828,213.9566650390625,101558400
